	8Mo1_12	8Mo1_13	8Mo1_14	8Mo1_15	8Mo1_16	8Mo1_17	8Mo1_18	8Mo1_19	8Mo1_20	8Mo2_16	8Mo2_17	8Mo2_21	8Mo3_15	8Mo3_16	8Mo3_17	8Mo3_18	8Mo5_3	8Mo6_16	8Mo6_17	8Mo6_18	8Mo6_19	8Mo6_20	8Mo7_11	23Mo7_29_39	23Mo7_29_40	23Mo7_29_41	23Mo7_29_42	23Mo7_29_43	23Mo7_29_44	23Mo7_29_45	23Mo7_29_46	23Mo7_29_47	23Mo7_29_48	23Mo7_29_49	23Mo7_29_51	23Mo7_29_52	23Mo7_29_53	23Mo7_29_54	23Mo7_29_55	23Mo7_29_56
Class	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland
SV210	0	0	2006	0	0	39	0	0	0	1502	687	20	0	0	0	4	9	26	24	7	9	44	2	0	7	0	32	0	0	0	0	11	0	0	0	4	0	0	0	21
SV221	0	0	3067	0	0	2	0	0	0	2876	2012	0	0	0	0	1	0	1	2	2	0	0	2	0	9	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0
SV273	0	0	282	0	0	6	0	0	0	291	255	0	0	0	2	0	29	6	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
SV274	1	0	2358	1	0	3	9	3	0	1708	1403	5	0	14	36	9	0	5	0	0	19	88	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	18	0
SV313	0	0	720	0	0	11	0	0	0	145	202	0	0	0	114	0	7	7	6	0	38	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV327	0	0	369	0	0	2	0	0	0	323	274	3	0	89	0	12	26	4	0	0	5	9	0	2	0	0	1	0	0	6	0	9	0	0	0	0	0	1	0	0
SV335	0	0	3	0	0	0	0	0	0	0	0	3	0	1546	11	13	7	6	3	5	8	23	7	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0	2	0
SV356	0	0	0	0	91	8	1	0	0	0	11	0	0	0	0	0	634	2	1	0	0	0	15	183	0	136	55	0	23	321	14	9	55	3	0	10	102	17	41	2
SV390	0	0	0	0	2	0	0	0	0	0	155	0	0	0	1	0	0	4	0	0	0	0	0	39	455	69	281	0	0	636	595	147	122	5	0	41	9	2	92	23
SV404	0	0	0	0	0	0	5	0	5	3	0	4	0	2017	0	9	4	0	0	1	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV412	2	0	424	0	0	20	0	0	6	207	189	15	0	31	0	6	0	4	0	0	9	2	4	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	27
SV414	0	0	902	0	0	20	0	0	0	649	437	0	0	14	0	2	1	3	5	0	6	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV444	0	0	0	0	0	0	0	0	0	0	0	0	0	113	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
SV458	0	21	0	0	208	0	0	0	0	0	383	46	3	0	0	0	91	0	1	0	0	0	27	137	176	56	1034	0	481	993	705	224	129	0	0	43	0	0	139	0
